id	fdr.pvalue.JE6 0m U0126 vs JE6 0m DMSO	fdr.pvalue.TCP 0m U0126 vs TCP 0m DMSO	fdr.pvalue.N22 0m U0126 vs N22 0m DMSO	fdr.pvalue.SHP 0m U0126 vs SHP 0m DMSO	fdr.pvalue.JE6 5m U0126 vs JE6 5m DMSO	fdr.pvalue.TCP 5m U0126 vs TCP 5m DMSO	fdr.pvalue.N22 5m U0126 vs N22 5m DMSO	fdr.pvalue.SHP 5m U0126 vs SHP 5m DMSO	JE6 0m U0126 vs JE6 0m DMSO	TCP 0m U0126 vs TCP 0m DMSO	N22 0m U0126 vs N22 0m DMSO	SHP 0m U0126 vs SHP 0m DMSO	JE6 5m U0126 vs JE6 5m DMSO	TCP 5m U0126 vs TCP 5m DMSO	N22 5m U0126 vs N22 5m DMSO	SHP 5m U0126 vs SHP 5m DMSO
KINASE-iKiP_PTK2B	0.656156410312274	0.339180120922198	0.0158824697240421	0.0203689165703837	0.805823985077334	0.800826972730002	0.0586830686596745	0.841058370938849	-0.9407	1.5816	-3.3419	3.0846	0.5294	-0.5583	-2.8023	-0.4961
KINASE-iKiP_PTK2.FAK	1	0.00623376623376623	0.994033846268481	0.769345858258504	0.669390454044041	0.848947543499669	0.636460354214907	0.740766610621418	-0.1065	-3.5718	0.1515	0.6429	0.836	0.5008	0.8935	-0.7577
KINASE-iKiP_PDGFRB	0.00822857142857143	0.59119829659729	0.722890505163189	0.285477293149927	0.728222947726027	0.225053218855759	0.45913928957434	0.934947514313221	3.4089	1.0506	0.7517	-1.7284	-0.7677	1.9379	1.3066	-0.2952
KINASE-iKiP_PDGFRA	0.0639930211159044	1	0.297937290131263	0.735063093239376	0.574541096238073	0.925334874086334	0.251945714789288	0.123966258531412	2.7922	0.0703	1.7231	-0.7233	-1.053	0.3033	1.8653	-2.3473
KINASE-iKiP_NTRK3	0.921214675309698	0.773035880788756	0.483557061566793	0.429074255694391	0.0813242901972903	0.59119829659729	0.437190952746442	0.00733964905603958	-0.3088	0.6328	-1.2821	-1.3846	-2.5374	1.03	1.357	-3.4783
KINASE-iKiP_NTRK2	0.0933143517150608	0.357233088285348	0.805823985077334	0.197104660825449	0.940147269181683	0.00285044939116183	0.558221715724945	0.55473507957697	2.5312	1.5627	-0.5308	-2.047	0.2703	3.6892	1.1003	-1.0941
KINASE-iKiP_NTRK1	0.803167241132837	0.0210748155953635	0.0741534476751448	0.0911130711975612	1	0.789353255977981	0.0683858854713126	0.253568104965402	-0.5466	-3.3141	-2.5841	2.523	-0.0654	-0.6362	-2.6743	1.8339
KINASE-iKiP_NPM1:ALK	0.285477293149927	0.316586164768537	0.136636731915055	0.10627838261758	0.10627838261758	0.0100546176762661	0.399927742827297	0.133671638096417	-1.7171	1.6452	-2.2132	-2.2431	-2.3326	3.1326	-1.4581	-2.0342
KINASE-iKiP_MUSK	0.650370141380524	0.605752387410296	0.149173392585181	0.0720794729188543	0.773035880788756	0.101968087324072	0.957577534018015	0.442888590158723	0.895	1.0014	-2.2609	-2.6857	-0.6418	2.4619	-0.24	-1.3647
KINASE-iKiP_MST1R	0.320892196390999	0.258329518601457	0.156017703846184	0.0509496355232181	0.0467928557336335	0.380404398525336	0.252516199225929	0.00517470002910769	-1.6141	1.8118	-2.1115	-2.5772	-2.566	1.5066	-1.8381	-3.5253
KINASE-iKiP_MET	0.325886141480425	0.127263919870865	0.640628641827323	1	0.701335795274228	0.173424552161397	0.264961169483783	0.904749994172212	1.6403	2.3392	0.9303	-0.0224	-0.7892	2.0885	1.8262	0.3435
KINASE-iKiP_MERTK.MER	0.598838971866875	0.61708773541571	0.302659525348601	0.152656111810798	0.333197369210498	0.976823518354988	0.522429131971873	1	-1.0431	1.009	-1.6991	-2.108	-1.5894	0.21	-1.1801	0.1219
KINASE-iKiP_MATK.CTK	0.133095490776074	0.368737018806726	0.47413536520031	0.37055930041902	0.140982498817488	0.605954228164664	0.407498538201026	0.0713364644086645	2.3313	-1.5319	1.2728	1.5284	2.2278	0.9802	1.4446	2.6553
KINASE-iKiP_MAPK3.ERK1	0.106805625552713	0.193091422556322	0.703593146968921	0.0806969904619222	0.0656207556019571	0.0965721578445094	0.326094956284782	0.228429812098747	-2.2003	-1.7966	0.8992	-2.3467	-2.0815	-2.2691	-1.6096	-1.9453
KINASE-iKiP_MAPK1.ERK2	0.245424706584444	0.795355327256852	0.831395472873509	0.0251046025104603	0.0951535499028841	0.0990372711866444	0.251115517445143	0.0236867278405094	-1.8991	0.6394	0.5426	-3.0781	-2.0495	-2.3185	-1.752	-2.2776
KINASE-iKiP_LYNB.LYN	0.0931114751271661	0.319980395074262	0.0555362721277334	0.253952929727104	9e-04	0.00284331554286594	0.258329518601457	0.0590269238002922	-2.5635	1.6391	-2.9656	-1.8387	-4.2196	4.1756	-1.8431	-2.8362
KINASE-iKiP_LYNA.LYN	0.311047889995258	0.225744833528053	0.10627838261758	0.574620909816441	0.0868538945493692	0.404633123136593	0.0374567127611958	0.565745200752578	-1.6644	1.9465	-2.4779	1.0478	-2.5458	1.4431	-3.1771	-1.0856
KINASE-iKiP_LTK	0.376097983421997	0.149779044531025	0.761541484821235	0.323662562412819	0.356607245973421	0.00152129817444219	0.197257991201221	0.277889830128636	-1.504	2.2106	-0.6752	-1.6446	-1.5573	4.6893	-2.0403	-1.768
KINASE-iKiP_LCK	0.0251046025104603	0.612502116583858	0.0136625481966093	9e-04	0.00518008903278025	0.0814174731505654	0.0157948858572702	0.00518008903278025	-3.3354	0.9899	-3.7726	-3.886	-3.8466	2.5881	-3.591	-4.1767
KINASE-iKiP_KIT	0.330506164069788	0.101789642666032	0.330954080307831	0.0894198643312747	0.307092455531977	9e-04	0.277889830128636	0.0590269238002922	1.6229	2.4409	1.6226	-2.5425	-1.6933	3.9713	1.7731	-2.7744
KINASE-iKiP_KDR	0.127689245921643	0.455619949766287	0.795222157035711	0.79755538579068	0.579945749108205	0.0555362721277334	0.0590269238002922	0.168168195145176	2.2689	1.3461	0.5892	-0.5874	1.0498	2.5676	2.6895	2.177
KINASE-iKiP_JAK3	0.0937214630160688	1	0.919389961654081	0.703593146968921	0.306517932581052	0.773833069620253	0.66552975350874	0.317779873030858	-2.4107	0.0752	0.3438	-0.8335	-1.6567	0.6465	-0.855	-1.6318
KINASE-iKiP_JAK2	0.455814591503981	0.288272394478014	0.805823985077334	0.487676398945129	0.544602581090622	9e-04	0.556283918524287	0.45831744716121	1.3181	1.7162	-0.5586	-1.2391	1.1427	3.6179	-1.0854	-1.3082
KINASE-iKiP_ITK	0.99347380612628	0.143829333706069	0.00405837674324661	0.650370141380524	0.0692356732548951	0.061020273501583	0.0121072685650517	0.716997394744878	-0.1495	2.2208	-4.0418	-0.8832	-2.6885	2.6094	-3.4867	-0.7459
KINASE-iKiP_INSRR	0.715538156780728	0.993806367158068	0.14793507294021	0.00822857142857143	0.0316383536654885	0.0913988620676095	0.0349587978057866	0.036304961678096	-0.7505	-0.1616	-2.198	-3.6141	-3.035	2.4933	-3.0803	-2.9853
KINASE-iKiP_INSR	1	1	0.403892831549504	0.0493050048688692	0.847290019118486	0.173424552161397	0.919994291422863	0.762090615985067	0.1193	-0.0228	1.4381	-3.0162	-0.4406	2.1211	0.3082	-0.6807
KINASE-iKiP_IGF1R	0.463931583643373	0.63432587056525	0.159207645241165	0.295827983434906	0.0564070508813602	0.218471472834309	0.120201925929075	0.0303455525419359	-1.2633	0.9392	-2.0874	-1.7128	-2.7753	-1.8956	-2.3451	-3.084
KINASE-iKiP_HCK	0.384909416108931	0.411952891407212	0.288272394478014	0.885801790712328	0.517497418413677	0.386610538570853	0.836734727215997	0.654055445579711	1.48	-1.4373	1.7738	-0.3698	-1.1811	1.4802	0.4704	0.8666
KINASE-iKiP_FRK	0.866976314971023	0.591644988094464	0.0821870897779807	0.118467467898638	0.397113485727968	0.0321478802491461	0.376589770412377	0.118728038586613	0.4334	-1.0193	-2.6022	-2.3439	-1.4714	2.9479	-1.5068	-2.3611
KINASE-iKiP_FLT4	0.0133805655862146	0.117582991168085	0.0745390718379716	0.27711661341853	0.197257991201221	0.248661972429053	0.415448212359272	0.413864915125979	3.2811	-2.3367	2.6379	-1.7586	2.0379	1.8502	1.4187	1.4147
KINASE-iKiP_FLT3	0.193257147504982	0.872724727783837	0.767687445164427	0.116024572131064	0.00405837674324661	0.00152129817444219	0.656991674375578	0.0171666997814425	-2.0404	0.3964	-0.6535	-2.3969	-3.8022	4.1132	-0.8609	-3.5022
KINASE-iKiP_FGR	0.991307442745479	0.918634629797997	0.032535432706376	0.886916066522587	0.279056056859309	0.555832139398257	0.0478745509452084	0.369998138496769	-0.1637	0.3478	-3.3107	-0.3928	-1.7804	1.0963	-2.9903	-1.5186
KINASE-iKiP_FGFR4	0.039739636861939	0.636460354214907	0.698988695026353	0.153431266962478	0.536431648025213	0.0484685067670095	0.866968020829768	0.722890505163189	2.6133	-0.9257	0.8198	-2.0136	1.1286	2.6688	0.4281	0.7452
KINASE-iKiP_FGFR3	0.0237592547818356	0.315672344432081	0.308951898479853	0.0127196963172504	0.40994775935023	0.922704774115951	0.0978603148970529	0.477643426743305	2.8495	-1.6231	1.6824	-3.3685	-1.425	-0.3177	2.1943	1.2671
KINASE-iKiP_FGFR2	0.6568	0.036304961678096	0.379061615511648	0.985510317880941	0.258329518601457	0.0590269238002922	0.735063093239376	0.134366242821739	0.8922	2.7668	1.5041	0.1821	-1.841	2.6392	0.709	2.2777
KINASE-iKiP_FGFR1	0.489821859445957	0.221330475312181	0.913232667233464	0.294020411237331	0.427322025565708	0.70157874977771	0.944048094192776	1	1.2426	1.8511	0.3435	-1.7234	-1.4076	0.851	-0.2658	-0.0827
KINASE-iKiP_FES	0.117107661713528	1	0.376097983421997	0.450011517414524	0.00152129817444219	0.0572626514049108	0.0880550412330985	0.434421762681707	-2.3832	-0.1035	-1.5192	-1.3396	-4.3146	2.7697	-2.6563	-1.3632
KINASE-iKiP_FER	0.510109686797938	0.477030551855222	0.139882191416803	0.830031489166476	0.285477293149927	0.132060834581176	0.258329518601457	0.345358992139732	-1.1818	-1.2512	-2.2912	0.5009	-1.7358	2.2886	-1.8389	-1.5844
KINASE-iKiP_ERBB4	0.961530282212356	0.521774356896901	0.722890505163189	0.847290019118486	0.795222157035711	0.369998138496769	0.56635935583429	0.0908331941893471	-0.222	1.1704	-0.7297	-0.4502	-0.6002	1.5189	-1.0741	-2.5632
KINASE-iKiP_EPHB4	0.0354134181692602	0.697876982905005	0.0196277732992184	0.0936941225100756	0.0112182733207647	0.0164222999806796	0.0588394354010059	0.0100546176762661	-3.1638	0.7998	-3.3541	-2.4733	-3.6375	3.5414	-2.9169	-3.5722
KINASE-iKiP_EPHB3	0.00822857142857143	0.555986769043383	0.0164222999806796	0.545226206639682	0.0256594591605375	0.0203689165703837	0.00284331554286594	0.270023577426338	-3.6867	1.0872	-3.4466	-1.1456	-3.221	3.3562	-3.9386	-1.79
KINASE-iKiP_EPHB2	0.79755538579068	1	0.166216726074904	0.961707103186203	0.00921064308997887	1	0.149623307518044	0.592478680274011	-0.5708	0.0332	-2.191	0.2263	-3.4917	0.0991	-2.1649	-1.0066
KINASE-iKiP_EPHB1	0.61708773541571	0.155100417578047	0.868666220693795	0.793701084624855	1	0.643202000363541	0.251945714789288	0.521774356896901	0.9594	-2.1871	-0.422	0.5981	-0.0282	0.8977	-1.8599	-1.1812
KINASE-iKiP_EPHA8	0.428948956681288	0.994033846268481	0.268967039135738	0.353868590629035	0.985196060250784	0.0393491491740156	0.593365453632768	1	-1.3714	0.1389	1.8214	-1.5604	-0.1737	3.0241	0.9867	0.0544
KINASE-iKiP_EPHA7	0.106964050811851	0.086716305198756	0.00152129817444219	0.0279900382676304	0.0382462782918433	0.0282387547493565	0.00405837674324661	0.00921064308997887	-2.3829	2.4275	-3.9259	-2.8871	-2.8727	2.9073	-3.7296	-3.4539
KINASE-iKiP_EPHA6	0.487676398945129	0.579282021723076	0.603550295857988	0.128054193583633	0.288272394478014	0.256231792772223	0.773035880788756	0.880567117585848	1.23	-1.0503	0.9961	2.3196	1.757	-1.8731	0.6425	0.3923
KINASE-iKiP_EPHA5	0.734021217846243	1	0.26977103047632	0.0980972515856237	0.20246435865115	9e-04	0.197399101802145	0.440707796376963	-0.7328	0.0413	-1.8101	-2.4453	-1.9925	4.0444	-2.0249	-1.3524
KINASE-iKiP_EPHA4	0.82675774349311	0.723173538245505	0.940147269181683	0.14793507294021	0.904749994172212	0.0187397273109402	0.805823985077334	0.840578507694399	0.5108	0.7794	0.2814	-2.1674	0.3592	3.0672	-0.5536	0.4707
KINASE-iKiP_EPHA3	0.270023577426338	0.587130766212656	0.463816098873192	1	0.607620817349033	0.0142123162127561	0.116525238386843	0.459494644151339	-1.8042	1.0293	-1.2882	0.0886	-0.9873	3.6143	-2.4575	-1.2964
KINASE-iKiP_EPHA2	0.997433591760878	0.588726223923726	0.968232613052909	0.215246984603054	0.799521776875268	0.0405348916747244	0.589476636169243	0.316196601171399	0.1363	1.0535	-0.2029	-1.954	-0.549	2.965	-1.0134	1.6598
KINASE-iKiP_EPHA1	0.0607273480091091	0.197257991201221	0.139169233402292	0.163503348257487	0.342831905633816	0.00284331554286594	0.119395219567796	0.291117757219129	-2.7846	1.9321	-2.2846	-2.1897	-1.6004	3.9141	-2.3784	-1.7251
KINASE-iKiP_EGFR	0.455814591503981	0.398155976327585	0.0527859237536657	0.163503348257487	0.574620909816441	0.0653513139462269	0.197399101802145	0.196007116377308	1.2951	1.4552	-2.9847	-2.1173	-1.0628	2.6045	-2.042	-2.0301
KINASE-iKiP_DDR2	0.00152129817444219	0.382246964963356	0.14590456959046	0.116024572131064	0.759753336585488	0.0397248181181699	0.0461133069828722	0.97113153667678	3.7901	-1.5054	2.2195	-2.3775	0.6657	2.654	2.742	-0.2114
KINASE-iKiP_CSF1R.FMS	0.37015533500086	0.999155570867871	0.904749994172212	0.403892831549504	0.643823008334455	0.205658827154154	0.9017597289675	0.434421762681707	1.5214	0.1389	0.3507	1.4383	-0.9115	1.9358	0.3519	-1.3762
KINASE-iKiP_BMX	0.062163051533306	1	0.183178448015567	9e-04	9e-04	0.47611713171465	0.574620909816441	0.0590269238002922	-2.7536	-0.0722	-2.0928	-4.2383	-4.7538	1.2662	-1.038	-2.8286
KINASE-iKiP_AXL	0.464727999811497	1	0.0313606303099524	0.0741534476751448	0.112215932039416	0.539298926003425	0.00822857142857143	0.113048771597742	-1.2786	0.0956	-3.1904	-2.414	-2.2612	1.1584	-3.6291	-2.3271
KINASE-iKiP_ALK	0.956813756437481	0.242433382662054	1	0.032535432706376	0.0860916139016516	0.291501961807031	0.183798502382573	0.0983402134053549	0.2344	1.895	0.0522	-3.1608	-2.5833	1.7484	-2.106	-2.5457
KINASE-iKiP_ABL2	0.206013486711622	0.758334796170517	0.0321478802491461	0.335218939870103	0.167391273072552	0.615780172307994	0.0368329016977666	0.205280330966566	-1.9218	0.6729	-3.1213	1.6395	-2.0588	1.0046	-3.0801	-1.9625
DISEASE-PSP_type_2_diabetes	0.0683858854713126	0.0317038012116043	0.795222157035711	0.035791006089442	0.00152129817444219	9e-04	0.0590269238002922	0.106221934124384	-2.4908	-2.0585	-0.6839	-2.6677	-3.0388	-3.4908	-2.2204	-2.0487
DISEASE-PSP_neuroblastoma	0.531776021985572	0.0555362721277334	0.324833836858006	0.0617262496437533	0.868666220693795	0.0393491491740156	0.365471192733784	0.940147269181683	-1.1428	-2.933	1.6527	-2.6549	-0.4128	3.1361	1.5282	0.2723
DISEASE-PSP_HNSCC	0.00405837674324661	0.00152129817444219	0.0273640075030343	9e-04	0.00152129817444219	9e-04	0.994033846268481	0.0624012389017899	2.9223	2.9625	1.989	2.9866	3.1108	3.397	0.1406	2.3366
DISEASE-PSP_glioma	0.0645072218126059	0.0341259428261193	0.799521776875268	0.0351301470120283	0.00152129817444219	9e-04	0.0579559313765347	0.107041362261439	-2.5087	-2.0348	-0.6824	-2.6935	-3.0564	-3.4919	-2.1924	-2.0742
DISEASE-PSP_breast_cancer	0.0853754940711463	0.543314087388729	0.252359344970926	0.269848346317468	0.0151729718794254	0.485063234528934	0.461320573847039	0.1752048766703	-2.4521	1.146	-1.8676	-1.804	-3.019	-1.262	-1.3106	-2.0957
DISEASE-PSP_acute_myelogenous_leukemia	0.0570930373716602	0.036304961678096	0.79460965126075	0.0353356152511189	9e-04	9e-04	0.0579559313765347	0.113819724973453	-2.4735	-2.0346	-0.6918	-2.6164	-2.985	-3.5019	-2.1747	-2.047
