id	fdr.pvalue.TCP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.N22 0m DMSO vs JE6 0m DMSO	fdr.pvalue.SHP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.TCP 5m DMSO vs JE6 5m DMSO	fdr.pvalue.N22 5m DMSO vs JE6 5m DMSO	fdr.pvalue.SHP 5m DMSO vs JE6 5m DMSO	TCP 0m DMSO vs JE6 0m DMSO	N22 0m DMSO vs JE6 0m DMSO	SHP 0m DMSO vs JE6 0m DMSO	TCP 5m DMSO vs JE6 5m DMSO	N22 5m DMSO vs JE6 5m DMSO	SHP 5m DMSO vs JE6 5m DMSO
KINASE-iKiP_FGR	0.671847359250055	0.063689835220243	0.118471337579618	0.995484587513428	0.493348595039015	0.982643027413588	0.9752	3.1261	-2.716	-0.1724	1.4385	-0.2101
KINASE-iKiP_FGFR4	0.679630371260327	1	0.258374876340853	0.801362969238184	0.336236580919587	0.68581284291473	1.0059	0.0469	2.1518	0.7077	1.7926	1.0032
KINASE-iKiP_FGFR3	0.0530004532933505	0.322066047838343	0.0222994904153487	0.208482148262043	0.268352613124983	0.758625007444237	3.0595	1.8506	3.2496	2.3091	-1.9578	-0.771
KINASE-iKiP_FGFR2	0.811545482002863	0.354177571975035	0.734409603382323	0.295211396532982	0.918046819672999	0.0145572179539021	-0.662	1.8015	-0.8278	-2.0345	-0.3722	-4.0526
KINASE-iKiP_FGFR1	0.988726690996351	0.323490657738417	0.696491456893179	0.136616704452529	0.295211396532982	0.371429304724996	0.1869	1.9418	0.9437	-2.516	1.827	-1.7489
KINASE-iKiP_FES	0.892454188521268	0.141090960914954	0.24849871352542	0.123092281774506	0.11319194097552	0.232994511283477	0.4375	2.662	-2.1951	-2.7984	2.8119	-2.2723
KINASE-iKiP_FER	0.323490657738417	0.0585644319669121	0.183894230769231	0.0589148038597682	0.159659050869684	0.281092938568185	-1.8981	2.9516	-2.3539	-3.1645	2.5218	-2.0721
KINASE-iKiP_ERBB4	0.0297099156843597	0.134110836095146	0.708016448012532	0.0319950703891549	0.922326815061369	0.0528270918196814	-3.4988	-2.6268	0.8643	-3.5226	-0.3559	3.1648
KINASE-iKiP_EPHB4	0.48522187454401	0.100327384095469	0.0145572179539021	0.0519886508435413	0.144361376300751	0.955590009671031	-1.4615	2.7879	-4.2735	-3.3138	2.5646	-0.285
KINASE-iKiP_EPHB3	0.679258102980067	0.116883116883117	0.0526173334055107	0.527832137058731	0.0807899461400359	1	-0.9539	2.7765	-3.1173	-1.3284	2.982	0.0323
KINASE-iKiP_EPHB2	0.419941869971277	0.0511610280438228	0.295211396532982	0.84900787380573	0.606033843378174	0.170193839236337	1.6061	3.2554	-2.0049	-0.5529	1.1529	-2.5105
KINASE-iKiP_EPHB1	0.51353631413452	1	0.560561753804317	0.700951156480721	0.410657379299921	0.793767691090986	1.3471	-0.0575	-1.2265	0.8903	1.6363	-0.6869
KINASE-iKiP_EPHA8	0.995484587513428	0.437531344032096	0.762700378909631	0.83329394750026	0.913537185496899	0.988726690996351	-0.176	-1.5764	-0.7691	-0.5992	-0.3709	0.1931
KINASE-iKiP_EPHA7	0.351018278023191	0.0530004532933505	0.954884386533102	0.137119273839982	0.0465370141621901	0.546892691765653	-1.8465	2.818	-0.2996	-2.3961	3.0164	1.267
KINASE-iKiP_EPHA6	0.675315201803758	0.304994412796015	0.476407211888254	0.425278611859908	0.999815222739645	0.544358680998267	-0.9692	-1.9683	1.4717	1.6297	-0.1414	1.2874
KINASE-iKiP_EPHA5	0.0530004532933505	0.0833018033089327	0.493348595039015	0.101308569016463	0.169939879759519	0.892454188521268	3.0855	2.803	-1.4192	2.7579	2.5084	0.4302
KINASE-iKiP_EPHA4	0.922326815061369	0.922326815061369	0.381170192490947	0.925603074586497	0.531973766322458	0.527832137058731	-0.3547	-0.3467	1.7158	0.3773	1.3409	-1.36
KINASE-iKiP_EPHA3	0.903673961051997	1	0.491946835492304	0.634006723676194	0.66484374739801	0.668091362233875	-0.4106	0.0548	-1.4405	-1.0722	0.9939	0.9937
KINASE-iKiP_EPHA2	0.0376175548589342	0.491946835492304	0.883545608100054	0.216548544103834	0.428571428571429	0.148412116130385	3.4414	1.4173	-0.4668	2.2567	1.6155	-2.5827
KINASE-iKiP_EPHA1	0.655618341566739	0.121457489878542	0.26389559494288	0.553005393592552	0.321403766013274	1	1.0257	2.6831	-2.1377	1.242	1.8966	0.0183
KINASE-iKiP_EGFR	0.743501702809111	0.564001661314766	0.541644917769693	0.392797242752087	0.588883222597225	0.493348595039015	-0.8057	1.2032	1.3141	-1.7244	1.1704	1.4516
KINASE-iKiP_DDR2	0.0519886508435413	0.447046887588687	0.888613801305857	0.525701771849492	0.63445221870548	0.998644064437493	3.0016	1.5761	0.4535	1.3404	-1.0871	-0.1634
KINASE-iKiP_CSF1R.FMS	0.217522110971523	0.730357034013548	0.511098574661151	1	0.922326815061369	0.581375968469738	2.263	0.848	1.3761	0.0313	0.3422	1.1732
KINASE-iKiP_BMX	0.86740024918074	0.0155373327578766	0.161339618830577	0.262338495037819	0.0376175548589342	0.258374876340853	0.5111	3.8358	-2.5087	-2.1733	3.5063	-2.1907
KINASE-iKiP_AXL	0.980450331037272	0.0502818970152257	0.587037350469815	0.564001661314766	0.019475601399358	0.784395102718406	0.213	3.0392	1.2015	-1.224	3.3598	-0.7763
KINASE-iKiP_ALK	0.623282967032967	0.889343221713115	0.695404377275582	0.700667589187735	0.73767202301107	0.789473684210526	1.1073	-0.4402	-0.9027	0.8992	0.7935	0.6999
KINASE-iKiP_ABL2	0.46458931109383	0.38704735585227	0.457068413608278	0.513024846210455	0.0660430041028812	0.368425325392315	-1.5147	1.7222	-1.4954	-1.3781	2.9378	1.7079
DISEASE-PSP_type_2_diabetes	0.40170601071216	0.583359025268532	0.0319950703891549	0.40330442048303	0.0319950703891549	0.652472241859691	1.7006	-1.2868	2.8618	1.62	-3.1196	-1.0621
DISEASE-PSP_neuroblastoma	0.257238267364062	0.852863540146909	0.0145572179539021	0.965811409866346	0.458931928511943	0.0848506491850114	2.1556	0.5365	-4.4345	0.2623	1.5176	-2.975
DISEASE-PSP_HNSCC	0.945974598183811	0.514998413838011	0.0369885633906183	0.57961422689466	0.564001661314766	1	0.3217	1.3976	-3.0486	-1.256	1.2495	-0.0803
DISEASE-PSP_glioma	0.183894230769231	0.976098775739736	0.885166818504557	0.513024846210455	0.0453265838477233	0.319115976453578	2.3395	0.2786	0.4736	1.4021	-2.8552	-1.7436
DISEASE-PSP_breast_cancer	0.314550056461191	0.649464988517832	0.786417876215046	0.517097581317765	0.392797242752087	0.562841530054645	-1.9547	-1.0357	-0.711	-1.3557	1.7034	1.2294
DISEASE-PSP_acute_myelogenous_leukemia	0.189107550210329	0.972862875131592	0.879543716854942	0.527111862917311	0.0545952883822262	0.31572463188081	2.3372	0.2814	0.483	1.3913	-2.8897	-1.7685
