id	fdr.pvalue.TCP 0m U0126 vs JE6 0m U0126	fdr.pvalue.N22 0m U0126 vs JE6 0m U0126	fdr.pvalue.SHP 0m U0126 vs JE6 0m U0126	fdr.pvalue.TCP 5m U0126 vs JE6 5m U0126	fdr.pvalue.N22 5m U0126 vs JE6 5m U0126	fdr.pvalue.SHP 5m U0126 vs JE6 5m U0126	TCP 0m U0126 vs JE6 0m U0126	N22 0m U0126 vs JE6 0m U0126	SHP 0m U0126 vs JE6 0m U0126	TCP 5m U0126 vs JE6 5m U0126	N22 5m U0126 vs JE6 5m U0126	SHP 5m U0126 vs JE6 5m U0126
KINASE-iKiP_FGR	0.760592579795275	0.606794090216037	0.489504726699081	0.832172668546406	0.165976379102344	1	-0.6737	0.9965	-1.2799	0.4911	2.3804	-0.053
KINASE-iKiP_FGFR4	0.459956133813164	0.946547958230411	0.860152627040044	0.467306035332346	0.986993239249097	0.382928736818197	-1.4027	-0.2575	0.4343	1.3909	0.1604	1.6103
KINASE-iKiP_FGFR3	0.584720410043075	0.323734256401702	0.817856725487905	0.228871354074178	0.736444246043842	0.981794221007419	-1.0638	1.6751	0.5185	2.0313	0.7695	0.1775
KINASE-iKiP_FGFR2	0.589995191992831	0.231428745435147	0.262683178952916	0.467306035332346	0.1239219994507	0.795674398153237	1.0397	1.9929	-1.9633	1.3863	2.408	-0.5915
KINASE-iKiP_FGFR1	0.885965023044384	0.05890786684952	0.153005105270346	1	0.158231796304033	0.320572837380935	0.3852	2.7895	-2.2083	0.0649	2.3036	-1.6998
KINASE-iKiP_FES	0.29420091595789	0.0126001400015556	0.4175498219679	0.228482967043512	0.0170179507866075	0.296445845028067	1.8632	4.0335	-1.5055	2.0717	3.8386	-1.8468
KINASE-iKiP_FER	1	0.183057742287845	0.589217498787914	0.268282988871224	0.32417217785304	0.243393655754236	-0.0894	2.2734	-1.0205	-1.9489	1.7688	-2.0517
KINASE-iKiP_ERBB4	0.0642093428415819	0.13688683952444	0.584720410043075	0.526720346207549	0.383514933585455	1	-3.1048	-2.4966	1.0486	-1.1963	-1.5928	-0.1129
KINASE-iKiP_EPHB4	0.232189457088473	0.0102015755766724	0.100936307677381	0.468809933088037	0.0838769804287046	0.0126001400015556	2.0594	3.7848	-2.7796	1.366	2.8249	-3.9756
KINASE-iKiP_EPHB3	0.0793847592597841	0.0704145500725689	0.948645271885697	0.212204371148065	0.314987259491388	0.49704555030793	2.8136	3.0746	-0.2473	2.141	1.7894	-1.2545
KINASE-iKiP_EPHB2	0.984997371831653	0.104155520890235	0.796570567470771	0.476116848844431	0.204267602445099	0.958617981153834	-0.1485	2.621	-0.5592	1.2947	2.1929	-0.2459
KINASE-iKiP_EPHB1	0.680074511413507	0.619903368065171	0.751475933799986	0.796570567470771	0.799439101714504	0.826502850491995	-0.8525	-0.9772	0.7096	0.5731	-0.5651	0.4812
KINASE-iKiP_EPHA8	0.626732954311714	0.108173076923077	0.986933559157878	0.252303092932637	0.29420091595789	0.77405249056779	0.9724	2.6432	0.1456	1.9821	1.8484	-0.6247
KINASE-iKiP_EPHA7	0.192209769674558	0.0924901947383027	0.981794221007419	0.0480484813505519	0.0403077629765733	1	2.0332	2.6031	-0.1764	3.0705	3.2223	-0.0741
KINASE-iKiP_EPHA6	0.986993239249097	0.446846846846847	0.414646725116039	0.980192687451379	0.034629404617254	0.0102015755766724	-0.1498	-1.4676	-1.5167	-0.1859	-2.9543	-3.8297
KINASE-iKiP_EPHA5	0.00432	0.0951177735395231	0.401282638570774	0.00432	0.11956356280295	0.722051366446211	4.4988	2.7452	1.5443	4.6605	2.5243	0.7595
KINASE-iKiP_EPHA4	0.612186522634284	0.536549234092529	0.877880143211517	0.162697633147849	0.748910591216738	0.379634206623826	1.0585	-1.2299	0.3966	2.0297	-0.7655	1.6025
KINASE-iKiP_EPHA3	0.387164901860607	0.726661059714045	0.454299894837987	0.829718527086948	0.977300256529424	0.533864181332851	1.581	-0.7582	1.3986	0.4864	-0.1867	1.1706
KINASE-iKiP_EPHA2	0.0834551874175256	0.167545947217039	0.802914334714764	0.0851235173421176	0.381983704689059	0.31584563563915	2.9016	2.3551	-0.5578	2.8484	1.5834	-1.7705
KINASE-iKiP_EPHA1	0.0102015755766724	0.0273307014880049	0.767962936964762	0.00432	0.113975109962269	0.9588315569637	4.1409	3.6185	-0.6552	4.0243	2.6564	0.2461
KINASE-iKiP_EGFR	0.540960702786554	0.857743944168913	0.663035417007423	0.870551082914117	0.185164337480802	0.523137870974352	-1.1562	0.4407	0.9199	0.3974	2.2538	1.2059
KINASE-iKiP_DDR2	0.702083850260531	0.418273741534585	0.861269035048854	0.192209769674558	0.544559461342818	0.717882352941176	-0.8429	1.5047	-0.4296	2.1338	1.1433	-0.7969
KINASE-iKiP_CSF1R.FMS	0.27085527421146	0.212998052330409	0.408308267350821	0.379304160688666	0.178759143210101	0.67033521263757	1.8832	2.0909	1.5267	1.6165	2.3356	0.8815
KINASE-iKiP_BMX	0.0399433100873131	0.00432	0.00432	0.0510580006434138	0.00432	0.0126001400015556	3.3832	4.8938	-4.6532	3.2185	4.8908	-4.0158
KINASE-iKiP_AXL	0.912187950580984	0.0556865769344584	0.206515368663396	1	0.0734172243455141	0.311601261177253	0.3428	2.969	-2.0377	0.1011	2.8162	-1.8126
KINASE-iKiP_ALK	0.451221767919069	0.446846846846847	0.916679577824048	0.123244937413345	0.616774768219398	0.420082058402086	1.4141	1.4491	-0.3085	2.5983	0.9786	-1.5142
KINASE-iKiP_ABL2	0.983503713636355	0.379687631252638	0.692809049686373	0.836760194207544	0.0768226029169471	0.468940188940117	-0.1527	1.6102	0.8173	0.5052	2.6652	1.3482
DISEASE-PSP_type_2_diabetes	0.0345994506578448	0.036	0.79432996796221	0.0675588371019843	0.327602869699556	0.470959469333372	-2.4438	-3.0255	0.6086	2.8664	-1.778	1.3736
DISEASE-PSP_neuroblastoma	0.472750386716876	0.598127401853886	0.00605693519079346	0.110259687479753	0.776066137721322	0.0170179507866075	1.3166	1.0166	-4.5461	2.5038	0.6501	-3.8935
DISEASE-PSP_HNSCC	0.472750386716876	0.550882585202977	0.123244937413345	0.0324501450182134	0.314987259491388	0.663035417007423	1.3577	1.14	-1.9955	-3.258	1.8056	-0.944
DISEASE-PSP_glioma	0.0346189469564176	0.0403077629765733	0.79432996796221	0.0683451136164496	0.33609925922048	0.467306035332346	-2.4481	-3.0429	0.6159	2.9044	-1.735	1.3949
DISEASE-PSP_breast_cancer	0.092546109352832	0.692809049686373	0.485939961085889	0.77405249056779	0.943329161198812	0.204182377716392	2.6569	0.8294	-1.302	0.6549	0.2755	-2.1655
DISEASE-PSP_acute_myelogenous_leukemia	0.031005971520441	0.03201096672008	0.795475856481655	0.0718455662447482	0.327602869699556	0.467512503759482	-2.4694	-3.0677	0.6119	2.9349	-1.7693	1.39
